id,fecha,vehicle_id,monto,tipo,motivo,categoria_real,comentarios,texto_normalizado,sugerencia_tipo_gasto,sugerencia_subtipo_gasto
ffcbe4db-fc2b-4401-a058-edab6bf81f16,2024-06-10,16,200,OTROS GASTOS,OTROS PROVISIONALES,GASTOS_CAJA_UNIDAD,VERSA 16 CUOTA 2/8 CULATA Y + · Excel GASTOS fila 2818 [origen gastos_caja id=2803],otros gastos | otros provisionales | gastos_provisionales | otros provisionales | versa 16 cuota 2/8 culata y + · excel gastos fila 2818 [origen gastos_caja id=2803] | gastos_caja_unidad | efectivo | traslado desde gastos_caja (script mover_gastos_caja_a_vehiculo),operativo_vehiculo,motor
f9c2e96e-499e-464e-9802-0a994e8950e5,2024-06-10,16,150,OTROS GASTOS,OTROS PROVISIONALES,GASTOS_CAJA_UNIDAD,VERSA 16 FAJA MOD · Excel GASTOS fila 2830 [origen gastos_caja id=2815],otros gastos | otros provisionales | gastos_provisionales | otros provisionales | versa 16 faja mod · excel gastos fila 2830 [origen gastos_caja id=2815] | gastos_caja_unidad | efectivo | traslado desde gastos_caja (script mover_gastos_caja_a_vehiculo),operativo_vehiculo,motor
4c4f285e-4ad6-4a33-9185-cee73be5b5a8,2024-07-06,56,40,OTROS GASTOS,OTROS PROVISIONALES,GASTOS_CAJA_UNIDAD,VERSA 56 CHAPA ARREGLO · Excel GASTOS fila 2898 [origen gastos_caja id=2883],otros gastos | otros provisionales | gastos_provisionales | otros provisionales | versa 56 chapa arreglo · excel gastos fila 2898 [origen gastos_caja id=2883] | gastos_caja_unidad | efectivo | traslado desde gastos_caja (script mover_gastos_caja_a_vehiculo),operativo_vehiculo,motor
05d2c277-b120-4596-9b0b-0bb64db71f8d,2024-07-06,49,10,OTROS GASTOS,OTROS PROVISIONALES,GASTOS_CAJA_UNIDAD,VERSA 49 EXTINTOR Y PLUMILLAS PARTE · Excel GASTOS fila 2905 [origen gastos_caja id=2890],otros gastos | otros provisionales | gastos_provisionales | otros provisionales | versa 49 extintor y plumillas parte · excel gastos fila 2905 [origen gastos_caja id=2890] | gastos_caja_unidad | efectivo | traslado desde gastos_caja (script mover_gastos_caja_a_vehiculo),operativo_vehiculo,motor
8f433575-a34a-4b70-8642-8996ae22764f,2024-07-06,55,45,OTROS GASTOS,OTROS PROVISIONALES,GASTOS_CAJA_UNIDAD,VERSA 55 CERTIFICADO GAS · Excel GASTOS fila 2907 [origen gastos_caja id=2892],otros gastos | otros provisionales | gastos_provisionales | otros provisionales | versa 55 certificado gas · excel gastos fila 2907 [origen gastos_caja id=2892] | gastos_caja_unidad | efectivo | traslado desde gastos_caja (script mover_gastos_caja_a_vehiculo),operativo_vehiculo,motor
975f925a-75d9-4125-87a6-709a6dba47ea,2024-07-08,13,260,OTROS GASTOS,OTROS PROVISIONALES,GASTOS_CAJA_UNIDAD,RIO 13 CUOTA 7/8  MOTOR ANILLOS · Excel GASTOS fila 2919 [origen gastos_caja id=2904],otros gastos | otros provisionales | gastos_provisionales | otros provisionales | rio 13 cuota 7/8 motor anillos · excel gastos fila 2919 [origen gastos_caja id=2904] | gastos_caja_unidad | efectivo | traslado desde gastos_caja (script mover_gastos_caja_a_vehiculo),operativo_vehiculo,motor
69ce255d-106c-412d-a915-e68dcc67db03,2024-07-08,23,120,OTROS GASTOS,OTROS PROVISIONALES,GASTOS_CAJA_UNIDAD,VERSA 23 CUOTA  3/4 CENSOR DE cigüeñal · Excel GASTOS fila 2922 [origen gastos_caja id=2907],otros gastos | otros provisionales | gastos_provisionales | otros provisionales | versa 23 cuota 3/4 censor de ciguenal · excel gastos fila 2922 [origen gastos_caja id=2907] | gastos_caja_unidad | efectivo | traslado desde gastos_caja (script mover_gastos_caja_a_vehiculo),operativo_vehiculo,motor
147d1014-fe44-44cf-bf6f-244b14a1a765,2024-07-08,35,100,OTROS GASTOS,OTROS PROVISIONALES,GASTOS_CAJA_UNIDAD,VERSA 35 CUOTA 3/4 VENTILADOR COMPLETO · Excel GASTOS fila 2926 [origen gastos_caja id=2911],otros gastos | otros provisionales | gastos_provisionales | otros provisionales | versa 35 cuota 3/4 ventilador completo · excel gastos fila 2926 [origen gastos_caja id=2911] | gastos_caja_unidad | efectivo | traslado desde gastos_caja (script mover_gastos_caja_a_vehiculo),operativo_vehiculo,motor
16d2c296-8142-45d8-a7c1-b998d70c4434,2024-07-08,13,100,OTROS GASTOS,OTROS PROVISIONALES,GASTOS_CAJA_UNIDAD,RIO 13 CUOTA 3/6 ARREGLO CAJA 4 RODAJES MAS 1 RETEN · Excel GASTOS fila 2927 [origen gastos_caja id=2912],otros gastos | otros provisionales | gastos_provisionales | otros provisionales | rio 13 cuota 3/6 arreglo caja 4 rodajes mas 1 reten · excel gastos fila 2927 [origen gastos_caja id=2912] | gastos_caja_unidad | efectivo | traslado desde gastos_caja (script mover_gastos_caja_a_vehiculo),operativo_vehiculo,motor
99ca4622-8aef-4e10-a4af-02bf78ca20db,2024-07-08,11,100,OTROS GASTOS,OTROS PROVISIONALES,GASTOS_CAJA_UNIDAD,RIO 11 CUOTA 3/4 SOPORTE DE MOTOR EMPAQUE · Excel GASTOS fila 2928 [origen gastos_caja id=2913],otros gastos | otros provisionales | gastos_provisionales | otros provisionales | rio 11 cuota 3/4 soporte de motor empaque · excel gastos fila 2928 [origen gastos_caja id=2913] | gastos_caja_unidad | efectivo | traslado desde gastos_caja (script mover_gastos_caja_a_vehiculo),operativo_vehiculo,motor
